Date,Voile,Spot,Durée,Vent moyen (kn),Notes
2024-06-04 00:00:00,Moustache M1 2024 18m,Punta Paloma,5:00:00,12,
2024-06-07 00:00:00,Moustache M1 2024 18m,Conil,1:00:00,5,
2024-06-09 00:00:00,Moustache M1 2024 18m,Faro,2:00:00,5,
2024-06-11 00:00:00,Moustache M1 2024 18m,Dune du Pyla,5:00:00,12,
2024-06-12 00:00:00,Moustache M1 2024 18m,Dune du Pyla,3:00:00,18,
2024-06-16 00:00:00,Moustache M1 2024 18m,Gâvres,2:00:00,10,
2024-06-17 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,1:00:00,5,
2024-06-21 00:00:00,Moustache M1 2024 18m,Pénestin,1:00:00,16,
2024-06-22 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,1:30:00,15,
2024-06-24 00:00:00,Moustache M1 2024 18m,Pénestin,1:30:00,17,
2024-06-27 00:00:00,Moustache M1 2024 18m,Pénestin,1:00:00,15,
2024-06-27 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,3:00:00,17,
2024-06-28 00:00:00,Moustache M1 2024 18m,Pénestin,3:00:00,15,
2024-06-29 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,0:30:00,20,
2024-06-30 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,1:00:00,15,
2024-07-02 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,0:45:00,15,
2024-07-03 00:00:00,Moustache M1 2024 18m,Gâvres,0:30:00,15,
2024-07-04 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,1:00:00,18,
2024-07-06 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,1:00:00,17,
2024-07-12 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,1:00:00,20,
2024-07-15 00:00:00,Moustache M1 2024 18m,Gâvres,1:00:00,20,
2024-07-16 00:00:00,Moustache M1 2024 18m,Pénestin,1:30:00,22,
2024-07-20 00:00:00,Moustache M1 2024 18m,Gâvres,1:30:00,15,
2024-07-21 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,0:45:00,23,
2024-07-22 00:00:00,Moustache M1 2024 18m,Gâvres,3:00:00,15,
2024-07-23 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,1:00:00,16,
2024-08-01 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,2:00:00,17,
2024-08-02 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,0:30:00,20,
2024-08-03 00:00:00,Moustache M1 2024 18m,Gâvres,1:30:00,17,
2024-08-06 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,1:00:00,18,
2024-08-12 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,1:00:00,17,
2024-08-14 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,0:45:00,23,
2024-08-16 00:00:00,Moustache M1 2024 18m,Gâvres,0:30:00,15,
2024-08-17 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,1:00:00,15,
2024-08-18 00:00:00,Moustache M1 2024 18m,Fort Penthièvre,0:45:00,17,
2024-08-22 00:00:00,Moustache M1 2024 18m,Gâvres,1:30:00,17,
2024-08-28 00:00:00,Moustache M1 2024 18m,Pénestin,2:15:00,21,
2024-08-30 00:00:00,Moustache M1 2024 18m,Douarnenez,0:45:00,10,
2024-08-30 00:00:00,Moustache M1 2024 18m,Douarnenez,1:00:00,20,
2024-09-06 00:00:00,Moustache M1 22m,Chamonix Brévent,1:00:00,0,En Mo 22m
2024-09-08 00:00:00,Moustache M1 22m,Passy,1:00:00,0,En Mo 22m
2024-09-10 00:00:00,Moustache M1 2024 18m,Passy,0:30:00,0,
2024-09-11 00:00:00,Moustache M1 2024 18m,Chamonix Brévent,0:45:00,0,
2024-09-20 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,0:45:00,18,
2024-10-07 00:00:00,Moustache M1 2024 18m,Camocim,0:30:00,15,
2024-10-10 00:00:00,Moustache M1 2024 18m,Guriu,0:30:00,20,Tow up car
2024-10-17 00:00:00,Moustache M1 2024 18m,Camocim,0:30:00,20,
2024-10-18 00:00:00,Moustache M1 2024 18m,Camocim,1:00:00,23,
2024-10-27 00:00:00,Moustache M1 2024 18m,Atins,1:00:00,18,Static tow up
2024-11-09 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,0:45:00,20,
2024-11-10 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,2:30:00,20,
2024-11-13 00:00:00,Moustache M1 2024 18m,Pecem,0:25:00,15,Tai's Mo 18m
2024-11-14 00:00:00,Moustache M1 2024 18m,Pecem,0:30:00,13,
2024-11-18 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,1:30:00,17,
2024-11-19 00:00:00,Moustache M1 2024 18m,Redonda,1:30:00,17,
2024-11-19 00:00:00,Moustache M1 2024 18m,Retiro,0:15:00,18,
2024-11-19 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,0:30:00,20,
2024-11-20 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,2:30:00,18,
2024-11-24 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,2:00:00,15,
2024-11-25 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,0:30:00,12,
2024-11-25 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,2:00:00,17,
2024-11-26 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,2:30:00,17,
2024-12-01 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,2:00:00,12,
2024-12-02 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,0:30:00,16,Jour du crash
2024-12-03 00:00:00,Moustache M1 2024 18m,Canoa Quebrada,3:45:00,18,Mo réparée
2024-12-29 00:00:00,Moustache M1 2024 18m,Punta Paloma,0:30:00,25,
2024-12-29 00:00:00,Moustache M1 2024 18m,Getares,0:45:00,18,
2024-12-30 00:00:00,Moustache M1 2024 18m,Punta Paloma,1:00:00,23,
2024-12-31 00:00:00,Moustache M1 2024 18m,Punta Paloma,0:30:00,15,
2025-01-02 00:00:00,Moustache M1 2024 18m,Km90,0:25:00,12,
2025-01-04 00:00:00,Moustache M1 2024 18m,Hurricane,0:15:00,15,
2025-01-05 00:00:00,Moustache M1 2024 18m,Conil,1:30:00,22,
2025-01-05 00:00:00,Moustache M1 2024 18m,Paloma Baja,0:30:00,24,
2025-01-06 00:00:00,Moustache M1 2024 18m,Faro,0:45:00,23,
2025-01-07 00:00:00,Moustache M1 2024 18m,Betis,0:10:00,5,
2025-01-08 00:00:00,Moustache M1 2024 18m,Hurricane,0:30:00,20,
2025-01-08 00:00:00,Moustache M1 2024 18m,Paloma Baja,1:00:00,20,
2025-01-10 00:00:00,Moustache M1 2024 18m,Faro,1:30:00,20,
2025-01-12 00:00:00,Moustache M1 2024 18m,Molinos,0:30:00,2,
2025-05-20 00:00:00,Skywalk Chili 5 26m,Faro,1:00:00,2,Grounhandling + 1 flight down
2025-05-21 00:00:00,Skywalk Chili 5 26m,Punta Paloma,1:00:00,3,Grounhandling + 2 flight down
2025-05-26 00:00:00,Skywalk Chili 5 26m,Punta Paloma,1:00:00,5,Flying 
2025-06-24 00:00:00,Skywalk Chili 5 26m,Faro,2:00:00,8,Insane
2025-06-24 00:00:00,Skywalk Chili 5 26m,Faro,0:30:00,8,
2025-06-26 00:00:00,Skywalk Chili 5 26m,Vejer,0:30:00,6,Thermic
2025-06-26 00:00:00,Skywalk Chili 5 26m,Vejer,0:30:00,6,Thermic
2025-07-10 00:00:00,Skywalk Chili 5 26m,Passy,0:15:00,2,Plouf
2025-07-10 00:00:00,Skywalk Chili 5 26m,Passy,0:20:00,4,Tout petit thermic devant attero
2025-07-10 00:00:00,Skywalk Chili 5 26m,Passy,0:25:00,6,"Gros thermic, multiples fermetures"
2025-07-11 00:00:00,ARAK 23m,Passy,0:15:00,2,Plouf ARAK 23m
2025-07-11 00:00:00,ARAK 23m,Passy,0:15:00,4,Plouf ARAK 23m
2025-07-11 00:00:00,ARAK 23m,Passy,0:20:00,6,Petit thermic ARAK 23m
2025-08-23 00:00:00,Skywalk Chili 5 26m,Menez Hom,0:10:00,5,Petit thermique
2025-09-03 00:00:00,Skywalk Chili 5 26m,Punta Paloma,1:00:00,10,Début faible puis fin fort
2025-09-08 00:00:00,Skywalk Chili 5 26m,Faro,1:30:00,8,Début fort puis fin faible
2025-09-26 00:00:00,Skywalk Chili 5 26m,Punta Paloma,1:30:00,15,Fort mais stylé
2025-09-30 00:00:00,Skywalk Chili 5 26m,Punta Paloma,2:15:00,10 puis 15,Léger puis fort
2025-10-03 00:00:00,Skywalk Chili 5 26m,Punta Paloma,2:00:00,15,Fort mais stylé
2025-01-23 00:00:00,Moustache M1 2025 18m,Langebaan,0:45:00,8,
2025-01-25 00:00:00,Moustache M1 2025 18m,Shark Bay,1:30:00,15,
2025-02-01 00:00:00,Moustache M1 2025 18m,Shark Bay,1:00:00,17,
2025-02-02 00:00:00,Moustache M1 2025 18m,Lion's Head,1:00:00,22,
2025-02-08 00:00:00,Moustache M1 2025 18m,Lion's Head,0:30:00,10,Groundhandling + 7min flight
2025-02-21 00:00:00,Moustache M1 2025 18m,Macassar,0:15:00,10,
2025-03-15 00:00:00,Moustache M1 2025 18m,Faro,1:30:00,18,
2025-03-16 00:00:00,Moustache M1 2025 18m,Paloma Baja,1:30:00,19,
2025-03-18 00:00:00,Moustache M1 2025 18m,Conil,1:00:00,17,
2025-03-24 00:00:00,Moustache M1 2025 18m,Vejer,0:30:00,20,
2025-03-24 00:00:00,Moustache M1 2025 18m,Faro,1:00:00,15,
2025-04-02 00:00:00,Moustache M1 2025 18m,Paloma Baja,0:15:00,15,
2025-04-04 00:00:00,Moustache M1 2025 18m,Paloma Baja,1:00:00,20,
